taxonomic_name,common_name,cultivation,sunlight,water,preferred_ph_lower,preferred_ph_upper,nutrients,soil,season,temperature_class,temperature_germination,temperature_growing,days_germination,days_harvest,nutritional_info,energy,sensitivities,description,requirements,days_harvest_min,days_harvest_max,days_harvest_avg,days_germ_min,days_germ_max,days_germ_avg,temp_germ_min,temp_germ_max,temp_germ_avg,temp_grow_min,temp_grow_max,temp_grow_avg
raphanus raphanistrum (subsp. sativus),radish,brassica,full sun/partial shade,medium,6,7,low,"loamy, clay and sandy",NA,half hardy,30,NA,4,25-50,NA,NA,NA,this swollen root is a crunchy salad vegetable with a sharp sweet flavour.,"a cool season crop which is fast to mature and easy to grow. requires full sun and moisture. can be grown as a 'catch crop' between rows of slower maturing vegetables, or as a row marker in slow to germinate crops.",25,50,37.5,4,4,4,30,30,30,NA,NA,NA
rheum rhabarbarum,rhubarb,miscellaneous,full sun/partial shade,medium,5.5,7,low,not specified,perennial,hardy,21,24,7,x,NA,NA,NA,"the crisp sharp flavoured stalks of this perennial can be eaten raw, but normally cooked with sugar and prepared similar to fruit. the large leaves are not eaten as they contain oxalic acid that can cause poisoning.",rhubarb prefers an open sunny site with well drained soil. do not allow the crowns to be covered as they are prone to rotting.,NA,NA,NA,7,7,7,21,21,21,24,24,24
brassicaceae eruca sativa,rocket,brassica,full sun/partial shade,medium,6,7,low,not specified,NA,half hardy,18-22,NA,6,40-90,NA,NA,NA,an edible herb which is used as a leafy salad vegetable. also used in cooking due to it's strong peppery flavour.,"plants prefer some shade to keep the leaves tender, and keeping the soil moist and the plants growing will prevent them going to seed. can be sown throughout the spring and summer for continual cropping.",40,90,65,6,6,6,18,22,20,NA,NA,NA
tragopogon porrifolius,salsify,miscellaneous,full sun,medium,6,7.5,low,loamy and sandy,NA,half hardy,21,NA,6,120-,NA,NA,NA,"used in a similar way to other root vegetables (mashed, boiled or roasted). this creamy fleshed taproot with its oyster like taste makes a welcome change.",an easy slow growing cool weather plant that likes loose rich soil. the edible roots will become fibrous if watering is not even and adequate.,120,120,120,6,6,6,21,21,21,NA,NA,NA
scorzonera hispanica,scorzonera (black salsify),miscellaneous,full sun,medium,6,7,low,loamy and sandy,NA,hardy,21,NA,6,120-,NA,NA,NA,"used in a similar way to other root vegetables (mashed, boiled or roasted). this creamy fleshed taproot with its oyster like taste makes a welcome change.",an easy slow growing cool weather plant that likes loose rich soil. the edible roots will become fibrous if watering is not even and adequate.,120,120,120,6,6,6,21,21,21,NA,NA,NA
allium cepa (var. aggregatum),shallots,allium,full sun,medium,6,7,low,loamy,NA,very hardy,24,NA,21,90-,NA,NA,NA,"similar to onions, but are smaller and grow in clumps.","easy to grow and will do well in any well-drained fertile soil. they do not require much attention, but will need a long growing period and a sunny position. water when weather is dry, and remove flowers as soon as possible.",90,90,90,21,21,21,24,24,24,NA,NA,NA
rumex acetosa,sorrel,miscellaneous,full sun/partial shade,medium,5.5,7,medium,well drained,NA,very hardy,20,NA,7,60-,NA,NA,NA,"sorrel is a sour tasting leafy herb used raw in salads, or used as a herb in cooking.","this perennial plant grows well in a lightly shaded spot, do not allow to dry out. established plants can be divided.",60,60,60,7,7,7,20,20,20,NA,NA,NA
glycine max,soybean,legume,full sun,medium,6,7,medium,not specified,NA,half hardy,24,NA,NA,90-100,NA,NA,NA,"when to harvest soybean will depend on how you want use the crop. when green they can be cooked and used as vegetables, when the mature and turn brown they can be harvested and stored dry.",soya is a warm climate plant requiring temperatures of 20-30°c over the growing season. they will also require space as they can grow up to 1.2m high.,90,100,95,NA,NA,NA,24,24,24,NA,NA,NA
spinacia oleracea,spinach,chenopodiaceae,full sun/partial shade,medium,6,7.5,medium,loamy,NA,half hardy,21,NA,5,50-65,NA,NA,NA,the green leafs of the spinach plant can be eater raw in salads or cooked as a side dish or as an ingredient for cooking.,prefers a sunny or slightly shaded plot with moisture retentive soil. plants will need 30cm spacing and feeding with high nitrogen fertiliser ever 2 weeks.,50,65,57.5,5,5,5,21,21,21,NA,NA,NA
tetragonia tetragonioides,spinach (new zealand),miscellaneous,full sun/partial shade,medium,6.5,7,low,not specified,NA,tender,NA,15-24,10-20,55-65,NA,NA,NA,"used in the same way as spinach, but the leaves are smaller.",prefers warmer weather than regular spinach. although drought resistant retaining soil moisture maintains full growth potential.,55,65,60,10,20,15,NA,NA,NA,15,24,19.5
beta vulgaris (subsp.cicla),spinach (perpetual),chenopodiaceae,full sun/partial shade,medium,6,7,low,not specified,NA,very hardy,30,NA,4,30-45,NA,NA,NA,"used in the same way as spinach, but will tolerate dryer conditions and not run to seed.","easier to grow and more vigorous than true spinach. it likes well worked well drained soil with a high organic content, but will still do well in shadier areas with poor soil.",30,45,37.5,4,4,4,30,30,30,NA,NA,NA
allium cepa (var. aggregatum),spring onion / scallions,allium,full sun/partial shade,medium,6,7,low,not specified,NA,very hardy,24,NA,6,60-,NA,NA,NA,spring onion have a mild flavour ideal for using in salads or in dishes where onion would be overpowering.,"can be sown directly where they are to be grown, but ensure the plot has not been freshly manured. keep well watered.",60,60,60,6,6,6,24,24,24,NA,NA,NA
cucurbita pepo,squash (summer),cucurbit,full sun,medium,6,7,high,loamy,NA,tender,35,10-32,4,45-75,NA,NA,NA,"summer squashes are harvested when immature and the outer skin is still soft and edible. unlike winter squash, these do not store well.","summer squash likes a sunny, sheltered position in a soil that is humus rich and moisture retentive. they will require a large area to spread (120cm) and not compete with other plants.",45,75,60,4,4,4,35,35,35,10,32,21
cucurbita maxima,squash (winter),cucurbit,full sun,medium,5.5,7,high,not specified,NA,tender,35,10-32,5,85-120,NA,NA,NA,these vegetables have solid orange flesh that is ideal for many methods of cooking. they also store well.,"winter squash likes a sunny, sheltered position in a soil that is humus rich and moisture retentive. they will require a large area to spread (120cm) and not compete with other plants.",85,120,102.5,5,5,5,35,35,35,10,32,21
brassica napus,swede / rutabaga,brassica,full sun/partial shade,medium,5.5,7,low,not specified,NA,hardy,26,NA,4,80-100,NA,NA,NA,the yellow flesh of the swede is sweeter and milder than the turnip and is traditionally served mashed with potato and haggis in scotland.,this frost tolerant hardy plant is easy to grow and thrives in most soil types. it can be left in the ground over winter and harvested as required.,80,100,90,4,4,4,26,26,26,NA,NA,NA
ipomoea batatas,sweet potato,miscellaneous,full sun,medium,5.5,6,medium,"loamy, sandy and silty",NA,half hardy,NA,21-26,NA,100-125,NA,NA,NA,"a starchy sweet tasting root vegetable that is best backed, roasted or mashed.",sweet potatoes are grown from 'slips' which must be hydrated in water before planting. they need full sun and high temperatures to provide good yields.,100,125,112.5,NA,NA,NA,NA,NA,NA,21,26,23.5
zea mayvar. saccharata,sweetcorn,miscellaneous,full sun,high,6,7,low,loamy and clay,NA,tender,30,16-35,3,70-100,NA,NA,NA,"sweet corn is a variety of maize which is high in sugar and harvested while immature, at this stage it is considered a vegetable and used cooked. at this stage of maturity it does not store well so should be eaten fresh.","sweet corn is most successful in long hot summers. as they are wind pollinated they should be grown in blocks not rows. prefers moist well fertilised soil . corn is ready when the tassels turn brown, and the juice from the kernels is milky.",70,100,85,3,3,3,30,30,30,16,35,25.5
beta vulgari (subsp. vulgaris),swiss chard,chenopodiaceae,full sun/partial shade,medium,6,7.5,low,loamy and clay,NA,very hardy,30,NA,4,50-60,NA,NA,NA,swiss chard is leafy green vegetable. often the stalk is separated from the leaf and prepared separately.,grows best in a sunny position in rich soil that is free draining and moisture retentive. one sowing will provide a crop that will last many months.,50,60,55,4,4,4,30,30,30,NA,NA,NA
brassica rapa (subsp. narinosa),tatsoi,brassica,full sun,medium,6,7.5,medium,loamy soil,NA,very hardy,NA,NA,4,45-60,NA,NA,NA,"these small, spoon-shaped leaves look similar to spinach only grow to a few cms high. they have a mild mustard-like flavour and are used raw in salads or cooked.","a low growing annual, tatsoi plants thrive in cool weather, and tolerates light frost which can trigger bolting if exposed in spring, but later can improve tatsoi's flavour, and can be harvested out from under a snowfall.",45,60,52.5,4,4,4,NA,NA,NA,NA,NA,NA
solanum lycopersicum (var. cerasiforme),tomato (cherry),solanum,full sun,medium,5.5,7.5,high,loamy soil,NA,tender,26,16-30,6,65-85,NA,NA,NA,"the tomato is one of the most versatile fruit. eaten raw in salads, the base of many sauces. it comes in many sizes from small cherry, to large frit that fill your hand.","tomatoes are not hardy, so don’t expose the plants to frost, cold winds and draughts. seedlings are best kept at 18°c. they require a lot of watering and are hungry plant.",65,85,75,6,6,6,26,26,26,16,30,23
solanum lycopersicum,tomato (regular),solanum,full sun,medium,5.5,7.5,high,loamy,NA,tender,26,16-30,6,65-85,NA,NA,NA,"the tomato is one of the most versatile fruit. eaten raw in salads, the base of many sauces. it comes in many sizes from small cherry, to large frit that fill your hand.","tomatoes are not hardy, so don’t expose the plants to frost, cold winds and draughts. seedlings are best kept at 18°c. they require a lot of watering and are hungry plant.",65,85,75,6,6,6,26,26,26,16,30,23
vicia faba,winter field beans,legume,full sun,very low,6,7,medium,not specified,NA,hardy,10,NA,NA,90-180,NA,NA,NA,"winter beans are an incredibly generous green manure, providing a very cost-effective means of giving your soil a boost.",sown in autumn they can also limit the effect of rain on otherwise bare soil. a cool-season annual that can tolerate heavy frost.,90,180,135,NA,NA,NA,10,10,10,NA,NA,NA
pisum sativum (subsp. arvense (l.) asch),winter peas,legume,full sun,low,6,7,medium,not specified,NA,very hardy,NA,NA,NA,NA,NA,NA,NA,"field peas are an incredibly generous green manure, providing a very cost-effective means of giving your soil a boost.","sown in autumn they can also limit the effect of rain on otherwise bare soil. a cool-season annual, that can tolerate heavy frost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ocimum basilicum,basil,lamiaceae,full sun,high,5.5,6.5,low,"loam, sand",NA,very tender,NA,NA,NA,NA,NA,NA,NA,"a fragrant, easy to grow warm weather leafy herb, that used extensively in italian dishes.","for best results plant outside once soil is over 20oc. basil likes moisture, so mulching in hot weather will help retain moisture. remove flowers as they appear to keep plants productive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laurus nobilis,bay,miscellaneous,full sun,low,5.5,6.5,low,"chalk, clay, sand, loam",NA,hardy,NA,NA,NA,NA,NA,NA,NA,the fragrant leaves of this evergreen tree or shrub are used as a seasoning.,"an attractive and ornamental plant with fragrant leaves, best planted once all danger of frost has passed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
borago officinalis,borage,miscellaneous,full sun,medium,5.5,6.5,low,"chalk, clay, sand, loam",NA,hardy,NA,NA,NA,NA,NA,NA,NA,a fast growing annual that produces star shaped blue flowers. the leaves are used to made a hot water infusion.,an easy to grow annual that will thrive in poor soil. it requires a sunny spot and regular watering.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
capsicum chinense,bonnet pepper,solanaceae,full sun,medium,7,8.5,medium,rich moist soil,NA,tender,NA,NA,NA,NA,NA,NA,NA,a chili pepper with a very high scoville heat unit score.,"resistant to high temperatures. they like high temperatures with lots of light, and are easily damaged by cold spells of weather.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
matricaria recutita,chamomile (german chamomile),miscellaneous,full sun/partial shade,low,5.5,7.5,low,"loam, chalk, sand",NA,hardy,NA,NA,NA,NA,NA,NA,NA,the dried flowers of the chamomile plant contain many terpenoids and flavonoids contributing to the many benefits that it's claimed to help with.,"this upright annual grows best in partial shade, and like most herbs, does best when it is not fertilised or watered too often.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prunus dulcis,almond,miscellaneous,full sun,medium,6,7,medium,sandy loam,perennial,tender,not applicable.,NA,not applicable.,not applicable.,NA,NA,suseptable to spring frosts.,"almond trees have been cultivated for 1000's of years, their fruits are used for making baked goods, confectionary and oil.","few varieties are self fertile, so require two or more trees for cross pollination and fruit production. they prefer dry hot summers and mild wet winters. can take up to 8 years to fruit, and will live over 50 years.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
malus,apple,miscellaneous,full sun,medium,6,7.5,medium,loamy,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"a sweet edible fruit which is eaten raw, cooked or juiced. the most widely cultivated fruit tree world wide, with a vast range of tree sizes.","there are thousands of difference varieties that generally fall in to either cooking apples, or dessert apples (for eating). require little care, but ""chill hours"" are required to set fruit. more than one tree is needed to allow cross pollination.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prunus armeniaca,apricot,miscellaneous,full sun,medium,6.5,8,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,"new varieties can be grown in cooler climates, but the blossem must be protected from frost over night.","a relative of the plum, nectarine and peach. the fruit from these trees range in colour from pale yellow to dark orange. they have a soft velvety skin, and soft flesh covering a large kernel.","in warmer climates trees can be freestanding. in cooler climates they are best grown on a warm, sheltered, south facing wall.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rubus fruticosus agg.,blackberry,miscellaneous,full sun,medium,6,7,low,sandy,perennial,very hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"also known as a bramble, the dark almost black fruits comprise of juice filled sweet drouplets. they are traditionally grown along wires, but can also be trained to cover arches and trellis.","blackberries are vigorous growers and require regular pruning. however as the fruit is produced on last years growth, only prune back the canes once fruiting is finished, then tie back the new canes for next year.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ribes nigrum,blackcurrant,miscellaneous,full sun,medium,6,7,medium,not specified,perennial,very hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"blackcurrants are woody shrubs that produce fruits high in vitamin c. they can be eaten raw, but are normally used for jams, or as an ingredient in both sweet and savoury dishes. most blackcurrsts grown commetially are used for making juice.","fruit is produced on new growth, so old wood or weak shoots should be removed during dormancy. they are easy to grow, but prefer well drained soil in full sun.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vaccinium corymbosum,blueberry,miscellaneous,full sun,medium,5,6,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"regarded as a super fruit, these ornamental shrubs produce large quantities of fruit once established. the fruit is sweet and varies in size from 5mm to 16mm.","requires a soil ph of 5.5 or lower. these shrubs require an acidic soil, and will not grow well in the wrong type of soil. they also crop better when planted with another variety.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prunus avium,cherry,miscellaneous,full sun,medium,6,7,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"as a member of the genus prunus, it is a fleshy stoned fruit. cherries range in colour from a light red to deep purple. the sweet varieties are used fresh, cooked, and for juice, while the smaller sour varieties tend to be used for preserves.","most varieties are not self fertilising, so you will require 2 or 3 trees. they will take about 4 years to bear fruit and require deep, well drained soil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vaccinium corymbosum,cranberry,miscellaneous,full sun/partial shade,high,5,6,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"these evergreen dwarf shrubs, or trailing vines, have slender wiry stems. the fruit are larger than the leaves, and are red when ripe. used for making juice, sauce and jam due to the acidic taste. cranberry sauce is traditionally served with turkey.","requires a soil ph of 5.5 or lower to thrive, and prefers to be very moist, boggy soil. can take up to 3 years to fruit, but can last for decades.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ficus carica,fig,miscellaneous,full sun/partial shade,medium,6,6.5,high,all soil types,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"a small tree/large shrub that produces soft sweet fruit that can be used fresh, dried and preserved.","requires warmth and sun. they thrive in long hot summers, but can also be grown in containers allowing them to be moved indoors over winter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ribes grossularia,gooseberry,miscellaneous,full sun,medium,6,7,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"an easy to grow soft fruit. the sometimes spiny, translucent fruits grow on small thorny bushes. the varieties range in colour from yellow through to black. some are quite tart and more suited to cooking and preserving.","gooseberries thrive in cold winters and warm summers, and can tolerate a shaded space. they prefer a well drained soil containing plenty natural nutrients in the form of well rotted organic matter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vitis vinifera,grape,miscellaneous,full sun,medium,6,7,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,this sweet versatile fruit grows in large clusters on a vine. they are predominantly grown for eating fresh and making wine.,"the vines like deep free draining soil, and plenty summer sunshine for the fruits to ripen. they require support to grow upwards.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corylus avellana,hazel,miscellaneous,full sun/partial shade,medium,6.5,7.5,medium,"loamy, sandy",perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"a small tree or shrub grown for it's hard shelled nuts. is suited to growing in a garden, producing pretty catkins in the spring and nuts in the autumn.","are best grown in temperate climates, as hazel trees cannot tolerate long dry seasons or high heat. in the correct climate they are an easy nut to grow, not taking up too much space. as they are wind pollinated, they prefer an open site.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
humulus lupulus,hops,miscellaneous,full sun,medium,6.5,8,high,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"hops are the flowers, or seed cones used to flavour beer. hey are ready for harvest when the cones feel papery and leave a yellow powder when touched. different varieties taste different, allowing brewers to create particular flavours and aromas.","although hops are easy to grow, they are day length sensitive and best grown between 35 and 55 degree latitudes. they require a period of winter chilling. prune all growth in late autumn to early winter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
actinidia callosa,kiwi,miscellaneous,full sun,medium,5.5,7,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"a deciduous climbing plant that's vigorous growth requires plenty of room. the fruits have a light brown textured skin, with lime green flesh on the inside. they are high in vitamin c and generally eaten raw.","young shoots are extremely vulnerable to frost damage and will require protection in the spring. in mild climates these can be grown in the open, in cooler climates they are best grown on a sheltered west or south facing wall.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
citrus limon,lemon,miscellaneous,full sun,medium,5.5,7,medium,not specified,perennial,tender,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"the lemon is an acidic fruit produced by a small evergreen tree. the yellow citrus fruits are native to asia, and are grown predominantly for their juice, and the rind (which the aromatic oils are extracted from).",all citrus trees require a mild climate and plenty of sun. at temperatures below13°c they will go into dormancy.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
citrus aurantiifolia,lime,miscellaneous,full sun,medium,5.5,7,medium,not specified,perennial,tender,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"a citrus fruit ideal for adding flavour to drinks. it is a hybrid fruit consisting of several species: persian lime, desert lime, kaffier lime and key lime (c. aurantifolia).","ensure that it is planted in well draining soil, as limes will not tolerate standing water, nor will they tolerate temperatures below 10°c.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rubus loganobaccus,loganberry,miscellaneous,full sun/partial shade,medium,5.5,7,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"a cross between a raspberry and a blackberry, producing a larger and darker fruit than the raspberry. a very sweet fruit which is ideal for eating raw , using in baking and preserving.","a vigorous plant that requires maintenance. the fruit is produced on last years growth. only prune back the canes once fruiting is finished, then tie back the new canes for next years fruit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prunus persica var. nucipersica,nectarine,miscellaneous,full sun,medium,5.5,7,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"a smoothed skinned subspecies of the peach. the nectarine has soft sweet flesh that easily bruises. eaten fresh, cooked or preserved.","peach and nectarine trees require warmth and sun, as well as a chill period of 600-900 hours at less than 7°c. they are a semi-hardy, surviving in climates where temperatures drop to -20°c, but require warm summers to produce fruit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
citrus reticulata,orange,miscellaneous,full sun,medium,5.5,7,medium,not specified,perennial,tender,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"a sweet citrus fruit grown for eating fresh, processing, and it's fragrant peel. a hybrid between a pomelo and a mandarin, it the most widely grown fruit tree in the world.","all citrus trees require a mild climate and plenty of sun. at temperatures of under 13 degrees celcius they will go into dormancy. they can take a few years to bear fruit, and during this time will require regular fertiliser to encourage growth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prunus persica,peach,miscellaneous,full sun,medium,6,7,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"a native tree of china, grown for its soft fleshed fruit which contains a singe hard stone in the centre and thin fuzzy skin.","peach and nectarine trees require warmth and sun, as well as a chill period of 600-900 hours at less than 7°c. they are a semi-hardy, surviving in climates where temperatures drop to -20°c, but require warm summers to produce fruit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pyrus communis,pear,miscellaneous,full sun,medium,6,7,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"a deciduous tree grown for it's soft sweet fruit. the fruit are tear drop in shape, and usually have yellow to green skin and white flesh.","prefer a cold wet climate with a chill period of between 400 and 800 hours at less that 7 °c , and temperatures rarely going above 32°c. new varieties can withstand hotter climates, so choosing your variety for your climate in important.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diospyros chinensis,persimmon,miscellaneous,full sun,medium,5.5,6.5,low,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,also know as the sharon fruit. these glossy yellow to orange fruits look like tomatoes and grow on trees that can reach 18 meters high.,"an easy to grow tree that, depending on variety, can be grown where temperatures drop to -12°c in winter. american varieties are best for colder climates, where as the japanese varieties are better suited to milder climates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prunus domestica,plum,miscellaneous,full sun,medium,6,8,medium to high,"clay, loam",perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"a sweet fruit that contains a single stone in the centre. has many uses, from eating raw to preserving and cooking. there are many varieties which also include damsons and greengages.","choosing the correct variety for your climate and plot size is essential. the plum tree can vary from being less than 2m high and 0.5m wide to over 5m high. care is not difficult, but pruning and removing dead wood will ensure successful crop.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
punica granatum,pomagranate,miscellaneous,full sun,medium,5,6,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,a deciduous fruit producing shrub or tree. fruits have a tough skin filled with many jewel like seeds covered in red gelatinous flesh.,"can tolerate temperatures down to -12°c, but require lots of heat to ripen the fruit. they can take up to 5 years to produce fruit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rubus idaeus,raspberry,miscellaneous,full sun,medium,5.5,6.5,low,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"a small soft red fruit containing many seed containing drouplets. native to many parts of europe, it is a high value fresh fruit. other uses include processing for juice, jams and confectionary.","most varieties are biennial (fruiting on last years canes). in autumn the old dead canes are removed, excessive new canes are also removed leaving sufficient canes for next years crop.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ribes rubrum,redcurrant,miscellaneous,full sun,medium,6,7,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"small shiny berries produced on low bushes. they are quite tart when eaten fresh, but their high pectin content make them ideal for making jellies.","are strong growing plants that will tolerate most conditions, including poor soil and shade. they do however like plenty moisture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
juglans,walnut,miscellaneous,full sun/partial shade,medium,5.5,7.5,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"the wrinkled edible seed of a deciduous tree. they can be eaten once fully ripe, or pickled when picked green.","trees can be damaged by by spring frosts and wind. older varieties will take as much as 10 years to produce nuts, but modern varieties can bear nuts in as little as 4 years.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ribes rubrum,white currant,miscellaneous,full sun,medium,6,7,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,"small shiny berries produced on low bushes. they are quite tart when eaten fresh, but their high pectin content make them ideal for making jellies..","are strong growing plants that will tolerate most conditions, including poor soil and shade. they do however like plenty of moisture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
castanea sativa,chestnut,miscellaneous,full sun,medium,5.5,6,medium,not specified,perennial,hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,will not produce fruit if not grown in full sun.,"some species of chestnut trees can grow to over 60m high, whereas others are more shrubby in nature. the fruit, contained in a spiny capule, has 2 skins. the first is hard and shiny, the second a thinner skin attached to the seed.","trees can take upto 20 years before producing fruit. grafted trees will start fruiting sooner. they require deep, well drained, fertile soil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lonicera caerulea,honey berry,miscellaneous,partial shade,medium,5,7,medium,not specified,perennial,very hardy,not applicable.,NA,not applicable.,not applicable.,NA,NA,NA,a fruit bearing member of the honeysuckle family and related to the blueberry. the fruits are used in the same way as most soft fruits. the sweet juicy fruits taste similar to rapberries and blueberries when eaten fresh.,these plants are frost hardy and grow in a range of soil. they are best grouwn in groups to aid polination rate and resulting fruits.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calendula officinalis,calendula,miscellaneous,full sun/partial shade,medium,5.5,7,low,"chalk, loam, sand",NA,hardy,NA,NA,NA,NA,NA,NA,NA,"commonly known as a marigold, the bright yellow or orange flowers of this plant have historically been used for medical and culinary purposes in salads, teas, or oil infusions.","easy to grow and will reseed themselves. they do well in poor, well drained soil and require minimal care once established.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nepeta cataria,catnip,miscellaneous,full sun,low,6,7.5,low,well drained soil,NA,hardy,NA,NA,NA,NA,NA,NA,NA,a member of the mint family. catnip has antibacterial properties and is used to make teas.,"these seeds are tough, and will need slight damage before they will germinate. they will grow in partial shade, but grow much better in full sun. over fertilising can reduce the potency of their scent and flavour.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamaemelum nobile,chamomile (roman chamomile),miscellaneous,full sun/partial shade,low,5.5,7.5,low,"loam, chalk, sand",NA,hardy,NA,NA,NA,NA,NA,NA,NA,the dried flowers of the chamomile plant contain many terpenoids and flavonoids contributing to the many benefits that it's claimed to help with.,"a creeping, ground covering perennial. it grows best in partial shade, and like most herbs, does best when not fertilised or watered too often.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
valeriana officinalis,valerian,miscellaneous,full sun,medium,5.5,7,low,"sand, clay, chalk, loam",perennial,hardy,NA,NA,NA,NA,NA,NA,NA,the root of this plant is used after drying and making into powder. it is claimed that it helps with sleep disorders and depression. the leaves can be used to make tea.,"will grow in a wide variety of conditions, but prefers to be kept moist in well drained soil. it grows to about 1m-1.5m high, and 0.5m wide.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
symphytum officinale,comfrey,miscellaneous,partial shade,medium,6,7,low,"chalk, clay, sand, loam",perennial,hardy,NA,NA,NA,NA,NA,NA,NA,"there are many uses of comfrey. it has reported healing properties when used as an external dressing, or consumed as a tea. the nutrient rich leaves can be used as a fertiliser.","comfrey can live for over 20 years, and will thrive in good soil and full sun. once established, it requires little maintenance, however, mulching with grass cuttings will help to produce more leaves.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
